CODIGO,COD_REDUZIDO,PRODUTO,FAMILIA,STATUS,TOTAL
7899866825819,5819,Agenda Planner Argolado 2025 Astral Semanal A6 Maré Off White,ASTRAL,Lançamento,1040
7899866825826,5826,Agenda Planner Argolado 2025 Astral Semanal Notas A5 Eclipse Caramelo,ASTRAL,Lançamento,1045
7899866825833,5833,Agenda Planner Argolado 2025 Ateliê Semanal A6 Preto,ATELIE,Lançamento,900
7899866825840,5840,Agenda Planner Argolado 2025 Clássica Semanal A6 Vermelho Quente,CLASSICA,Lançamento,1075
7899866825857,5857,Agenda Planner Argolado 2025 Clássica Semanal A6 Café,CLASSICA,Lançamento,1100
7899866825864,5864,Agenda Planner Argolado 2025 Clássica Semanal Notas A5 Preta,CLASSICA,Lançamento,1265
7899866825871,5871,Agenda Planner Argolado 2025 Clássica Semanal Notas A5 Verde Oliva,CLASSICA,Lançamento,1215
7899866825888,5888,Agenda Planner Argolado 2025 Ateliê Semanal Notas A5 Off White,ATELIE,Lançamento,1240
7899866825895,5895,Agenda Planner Argolado 2025 Kraft Semanal Notas A5 Flores Max,KRAFT,Lançamento,765
7899866825901,5901,Agenda Planner Argolado 2025 Melissa Semanal Notas A5 Casinha das Abelhas,MELISSA,Lançamento,1205
7899866825918,5918,Agenda Planner Argolado 2025 Bossa Nova Semanal A6 Pontos Azul,BOSSA NOVA,Lançamento,845
7899866825925,5925,Agenda Planner Argolado 2025 Bossa Nova Semanal Notas A5 Boemia,BOSSA NOVA,Lançamento,1005
7899866825932,5932,Agenda Planner Argolado 2025 Melissa Semanal A6 Caminho das Abelhas,MELISSA,Lançamento,1120
7899866825949,5949,Agenda Planner Argolado 2025 Pólen Semanal Notas A5 Aromas Azul,POLEN,Lançamento,1180
7899866825956,5956,Agenda Planner Ciceros 2025 Astral Diária 14x21 Eclipse Caramelo,ASTRAL,Lançamento,1510
7899866825963,5963,Agenda Planner Ciceros 2025 Astral Semanal 14x21 Maré Off White,ASTRAL,Lançamento,1805
7899866825970,5970,Agenda Planner Ciceros 2025 Astral Semanal Anotações 14x21 Eclipse Preto,ASTRAL,Lançamento,1915
7899866825987,5987,Agenda Planner Ciceros 2025 Clássica Diária 14x21 Vermelho Quente,CLASSICA,Lançamento,1675
7899866825994,5994,Agenda Planner Ciceros 2025 Clássica Diária 14x21 Preta,CLASSICA,Lançamento,1590
7899866826007,6007,Agenda Planner Ciceros 2025 Clássica Semanal 14x21 Preta,CLASSICA,Lançamento,1620
7899866826014,6014,Agenda Planner Ciceros 2025 Clássica Semanal 14x21 Café,CLASSICA,Lançamento,1370
7899866826021,6021,Agenda Planner Ciceros 2025 Clássica Semanal 14x21 Vermelho Quente,CLASSICA,Lançamento,1925
7899866826038,6038,Agenda Planner Ciceros 2025 Clássica Semanal 9x13 Verde Oliva,CLASSICA,Lançamento,1675
7899866826045,6045,Agenda Planner Ciceros 2025 Clássica Semanal 9x13 Preta,CLASSICA,Lançamento,1690
7899866826052,6052,Agenda Planner Ciceros 2025 Clássica Semanal Anotações 14x21 Caramelo,CLASSICA,Lançamento,1990
7899866826069,6069,Agenda Planner Ciceros 2025 Clássica Semanal Anotações 14x21 Preta,CLASSICA,Lançamento,1680
7899866826076,6076,Agenda Planner Ciceros 2025 Clássica Semanal Anotações 14x21 Verde Oliva,CLASSICA,Lançamento,2550
7899866826083,6083,"Agenda Planner Ciceros 2025 Clássica Semanal Planejamento 17x19,5 Preta",CLASSICA,Lançamento,1105
7899866826090,6090,"Agenda Planner Ciceros 2025 Clássica Semanal Planejamento 17x19,5 Caramelo",CLASSICA,Lançamento,1220
7899866826106,6106,Agenda Planner Ciceros 2025 Ateliê Diária 14x21 Preto,ATELIE,Lançamento,1605
7899866826113,6113,Agenda Planner Ciceros 2025 Ateliê Semanal 14x21 Preto,ATELIE,Lançamento,1945
7899866826120,6120,Agenda Planner Ciceros 2025 Ateliê Semanal 9x13 Off White,ATELIE,Lançamento,2040
7899866826137,6137,Agenda Planner Ciceros 2025 Ateliê Semanal Anotações 14x21 Off White,ATELIE,Lançamento,2775
7899866826144,6144,"Agenda Planner Ciceros 2025 Ateliê Semanal Planejamento 17x19,5 Rosa",ATELIE,Lançamento,1385
7899866826151,6151,Agenda Planner Ciceros 2025 Kraft Semanal 14x21 Flores Mini,KRAFT,Lançamento,1275
7899866826168,6168,Agenda Planner Ciceros 2025 Bossa Nova Semanal Anotações 14x21 Pontos Azul,BOSSA NOVA,Lançamento,1460
7899866826175,6175,Agenda Planner Ciceros 2025 Melissa Diária 14x21 Favo de Abelhas,MELISSA,Lançamento,1365
7899866826182,6182,Agenda Planner Ciceros 2025 Melissa Semanal 9x13 Caminho das Abelhas,MELISSA,Lançamento,2525
7899866826199,6199,Agenda Planner Ciceros 2025 Melissa Semanal Anotações 14x21 Colmeia,MELISSA,Lançamento,3025
7899866826205,6205,Agenda Planner Ciceros 2025 Kraft Diária 14x21 Flores Max,KRAFT,Lançamento,1240
7899866826212,6212,Agenda Planner Ciceros 2025 Bossa Nova Semanal 14x21 Pontos Off White,BOSSA NOVA,Lançamento,1505
7899866826229,6229,Agenda Planner Ciceros 2025 Kraft Semanal 9x13 Flores Mini,KRAFT,Lançamento,1665
7899866826236,6236,Agenda Planner Ciceros 2025 Bossa Nova Semanal Anotações 14x21 Boemia,BOSSA NOVA,Lançamento,1800
7899866826243,6243,"Agenda Planner Ciceros 2025 Melissa Semanal Planejamento 17x19,5 Favo de Abelhas",MELISSA,Lançamento,1215
7899866826250,6250,Agenda Planner Ciceros 2025 Bossa Nova Diária 14x21 Pontos Azul,BOSSA NOVA,Lançamento,1105
