REDUZIDO,ORDEM,CODIGO,NOME_DO_PRODUTO,CHAPA_USADA,PAPEL USADO,APROVEITAMENTO NA CHAPA
899,1,7899866830899,Agenda Planner Argolado 2026 Origens Semanal A6 Áqua Azul,37.7D,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
905,2,7899866830905,Agenda Planner Argolado 2026 Origens Semanal Notas A5 Áqua Traço,29.9C,MP060 Couche Brilho 170g/m2 66x96UNICA-U,0.5
431,3,7899866830431,Agenda Planner Argolado 2026 Doce Florada Semanal A6 Preto,08.A8,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
8926,4,7899866828926,Agenda Planner Argolado 2026 Jardim Semanal Notas A5 Preto,20.0B,MP060 Couche Brilho 170g/m2 66x96UNICA-U,0.5
8933,5,7899866828933,Agenda Planner Argolado 2026 Jardim Semanal A6 Off White,17.7B,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
35,6,7899866830035,Agenda Planner Argolado 2026 Bossa Nova Semanal Notas A5 Boemia Caramelo,02.2A,MP060 Couche Brilho 170g/m2 66x96UNICA-U,0.5
172,7,7899866830172,Agenda Planner Argolado 2026 Clássica Semanal A6 Café,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
189,8,7899866830189,Agenda Planner Argolado 2026 Clássica Semanal A6 Verde Oliva,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
196,9,7899866830196,Agenda Planner Argolado 2026 Clássica Semanal Notas A5 Preta,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
202,10,7899866830202,Agenda Planner Argolado 2026 Clássica Semanal Notas A5 Azul Celeste,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
9756,11,7899866829756,Agenda Planner Argolado 2026 Praia Semanal Notas A5 Barraca,19.9B,MP060 Couche Brilho 170g/m2 66x96UNICA-U,0.5
9404,12,7899866829404,Agenda Planner Argolado 2026 Melissa Semanal A6 Mini Bloomy,24.4C,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
9411,13,7899866829411,Agenda Planner Argolado 2026 Melissa Semanal Notas A5 Color Bloomy,34.4D,MP060 Couche Brilho 170g/m2 66x96UNICA-U,0.5
448,14,7899866830448,Agenda Planner Argolado 2026 Doce Florada Semanal Notas A5 Lata,08.A8,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.5
912,15,7899866830912,Agenda Planner Ciceros 2026 Origens Diária 14x21 Áqua Off White,43.3E,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
929,16,7899866830929,Agenda Planner Ciceros 2026 Origens Semanal 14x21 Áqua Azul,44.4E,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
936,17,7899866830936,Agenda Planner Ciceros 2026 Origens Semanal Anotações 14x21 Terra,35.5D,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
8940,18,7899866828940,Agenda Planner Ciceros 2026 Jardim Diária 14x21 Verde,40.0D,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
8957,19,7899866828957,Agenda Planner Ciceros 2026 Jardim Semanal 14x21 Off White,16.6B,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.5
8964,20,7899866828964,Agenda Planner Ciceros 2026 Jardim Semanal 9x13 Verde,41.1E,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
8971,21,7899866828971,Agenda Planner Ciceros 2026 Jardim Semanal Anotações 14x21 Preto,42.2E,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.5
8988,22,7899866828988,Agenda Planner Ciceros 2026 Jardim Semanal Planejamento 17x19.5 Off White,15.5B,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.5
42,23,7899866830042,Agenda Planner Ciceros 2026 Bossa Nova Diária 14x21 Boemia Caramelo,07.7A,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
59,24,7899866830059,Agenda Planner Ciceros 2026 Bossa Nova Semanal 14x21 Boemia Caramelo,07.7A,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
9992,25,7899866829992,Agenda Planner Ciceros 2026 Praia Semanal 9x13 Cachorros,23.3C,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
4,26,7899866830004,Agenda Planner Ciceros 2026 Praia Semanal Anotações 14x21 Cachorros,15.5B,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
851,27,7899866830851,Agenda Planner Ciceros 2026 Kraft Semanal Anotações 14x21 2026,SEM IMPRESSÃO EXTERNA,Kraft Natural 110g/m2 - 66x96,1
66,28,7899866830066,Agenda Planner Ciceros 2026 Bossa Nova Semanal Planejamento 17x19.5 Boemia Caramelo,05.5A,MP060 Couche Brilho 170g/m2 66x96UNICA-U,0.5
219,29,7899866830219,Agenda Planner Ciceros 2026 Clássica Diária 14x21 Preta,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
226,30,7899866830226,Agenda Planner Ciceros 2026 Clássica Diária 14x21 Rosa Orquídea,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
233,31,7899866830233,Agenda Planner Ciceros 2026 Clássica Semanal 14x21 Café,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
240,32,7899866830240,Agenda Planner Ciceros 2026 Clássica Semanal 14x21 Preta,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
257,33,7899866830257,Agenda Planner Ciceros 2026 Clássica Semanal 14x21 Vermelho Quente,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
264,34,7899866830264,Agenda Planner Ciceros 2026 Clássica Semanal 9x13 Preta,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
271,35,7899866830271,Agenda Planner Ciceros 2026 Clássica Semanal 9x13 Caramelo,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
288,36,7899866830288,Agenda Planner Ciceros 2026 Clássica Semanal Anotações 14x21 Caramelo,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
295,37,7899866830295,Agenda Planner Ciceros 2026 Clássica Semanal Anotações 14x21 Azul Celeste,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
301,38,7899866830301,Agenda Planner Ciceros 2026 Clássica Semanal Anotações 14x21 Verde Oliva,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
318,39,7899866830318,Agenda Planner Ciceros 2026 Clássica Semanal Planejamento 17x19.5 Azul Celeste,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
325,40,7899866830325,Agenda Planner Ciceros 2026 Clássica Semanal Planejamento 17x19.5 Preta,SEM IMPRESSÃO EXTERNA,SEM IMPRESSÃO,0
9237,41,7899866829237,Agenda Planner Ciceros 2026 Libélulas Diária 14x21 Preto,25.5C,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
9244,42,7899866829244,Agenda Planner Ciceros 2026 Libélulas Semanal 14x21 Azul,17.7B,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
9251,43,7899866829251,Agenda Planner Ciceros 2026 Libélulas Semanal 9x13 Preto,22.2C,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
9428,44,7899866829428,Agenda Planner Ciceros 2026 Melissa Diária 14x21 Block Bloomy,33.3D,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
9435,45,7899866829435,Agenda Planner Ciceros 2026 Melissa Semanal 14x21 Pink Bloomy,27.7C,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
9442,46,7899866829442,Agenda Planner Ciceros 2026 Melissa Semanal 9x13 Mini Bloomy,24.4C,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
9459,47,7899866829459,Agenda Planner Ciceros 2026 Melissa Semanal Anotações 14x21 Max Bloomy,35.5D,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
9466,48,7899866829466,Agenda Planner Ciceros 2026 Melissa Semanal Anotações 14x21 Casinha das Abelhas,38.8D,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
9763,49,7899866829763,Agenda Planner Ciceros 2026 Praia Semanal Planejamento 17x19.5 Sol,16.6B,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
455,50,7899866830455,Agenda Planner Ciceros 2026 Doce Florada Diária 14x21 Azul,02.2A,MP060 Couche Brilho 170g/m2 66x96UNICA-U,0.25
462,51,7899866830462,Agenda Planner Ciceros 2026 Doce Florada Semanal 14x21 Preto,09.9A,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
479,52,7899866830479,Agenda Planner Ciceros 2026 Doce Florada Semanal 9x13 Off White,10.0A,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
486,53,7899866830486,Agenda Planner Ciceros 2026 Doce Florada Semanal Anotações 14x21 Garrafa,04.4A,MP060 Couche Brilho 170g/m2 66x96UNICA-U,0.25
493,54,7899866830493,Agenda Planner Ciceros 2026 Doce Florada Semanal Planejamento 17x19.5 Garrafa,05.5A,MP060 Couche Brilho 170g/m2 66x96UNICA-U,0.5
943,55,7899866830943,Agenda Planner Wire-o 2026 Origens Diária 11.5x16 Terra,37.7D,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
950,56,7899866830950,Agenda Planner Wire-o 2026 Origens Diária A5 Áqua Azul,40.0D,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.5
967,57,7899866830967,Agenda Planner Wire-o 2026 Origens Semanal Anotações A5 Áqua Azul,30.0C,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.5
974,58,7899866830974,Agenda Planner Wire-o 2026 Origens Semanal Notas c/ Divisórias A5 Terra,29.9C,MP060 Couche Brilho 170g/m2 66x96UNICA-U,0.5
981,59,7899866830981,Agenda Planner Wire-o 2026 Origens Semanal Office 15.5x9 Áqua Traço,30.0C,MP062 Couche Brilho 170g/m2 76x112UNICA-U,0.25
