CODIGO,TRABALHO,COLECAO,ARTE/HOT,SERVICO_GERAL,SERVICO_ESPECIFICO,DATA,QUANTIDADE,PRECO_TOTAL,PRECO_UNIT
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,01/08/2024,104,208,2
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,01/08/2024,920,450,0.49
,COLEÇÃO 2024,COLEÇÃO 2024,CALENDÁRIO,LAMINAÇÃO,LAM.SUPER FOSCA FR,01/08/2024,295,450,1.53
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,01/08/2024,310,450,1.45
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,01/08/2024,214,428,2
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,01/08/2024,700,450,0.64
4607,PASTEL BLOCK,FRESCOR 2023,LISTRAS,HOT,HOT STAMPING,01/08/2024,640,670,1.05
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,18/01/2024,100,200,2
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,18/01/2024,136,272,2
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,18/01/2024,44,70.40,1.60
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,18/01/2024,170,340,2
,PERSONALIZADO,2024,PERSONALIZADO,VERNIZ,VERNIZ LOCALIZADO,18/01/2024,170,205,1.21
,,,,PRÉ-PRODUÇÃO,GRAVAÇÃO DE TELA,18/01/2024,1,185,185
3976,MELISSA,COLEÇÃO 2024,FAVO DE ABELHAS,VERNIZ,VERNIZ LOCALIZADO,18/01/2024,900,260,0.29
,,,,PRÉ-PRODUÇÃO,GRAVAÇÃO DE TELA,18/01/2024,1,185,185
3976,MELISSA,COLEÇÃO 2024,FAVO DE ABELHAS,HOT,HOT STAMPING,18/01/2024,900,750,0.83
,FRESCOR 2024,FRESCOR 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,02/05/2024,8750,5416.25,0.62
,FRESCOR 2024,FRESCOR 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,02/05/2024,1000,471,0.47
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,02/05/2024,75,165,2.20
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,02/05/2024,70,154,2.20
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,02/05/2024,140,308,2.20
,BOSSA NOVA,2024,CAPAS,LAMINAÇÃO,LAM.SUPER FOSCA FR,02/05/2024,50,110,2.20
,PERSONALIZADO,2024,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,02/05/2024,850,526.15,0.62
4546,PASTEL BLOCK,FRESCOR 2023,LISTRAS,HOT,HOT STAMPING,02/05/2024,760,740,0.97
