TRABALHO,QUANTIDADE,ID,COLECAO,SERVICO_GERAL,NF_REFERENCIA,DATA,PRECO_TOTAL,PRECO_UNIT
DIVISÓRIAS FICHÁRIO 17X24 4/4,17896,ITEM 55,,DIVISÓRIAS,2430,18/03/2023,6925.75,0.39
MIOLO KIT PLANNER WIRE-O,10140,ITEM 50,,MIOLOS,2467,25/04/2023,9075.30,0.90
ADESIVOS ORGANIZADOR A5 PLANNER E FICHÁRIO),28000,,,ADESIVOS,2542,17/08/2023,12320,0.44
CALENDARIO DE MESA KRAFT,2550,,DATADOS 2024,MIOLO + CAPA,2543,21/08/2023,5610,2.20
REFIL PLANNER SEMANAL NOTAS,1650,,,MIOLOS,2545,21/08/2023,1089,0.66
DIVISÓRAS MELISSA FICHARIO E CADERNO ORGANIZADOR 17X24,9000,,,DIVISÓRIAS,2547,23/08/2023,18104.29,2.01
LAMINA INFORMATIVA CADERNO ORGANIZADOR A5,11200,,,LAMINA INFORMATIVA,2550,30/08/2023,2163.80,0.19
DIVISÓRIAS A5 4/4,11010,,,DIVISÓRIAS,2613,11/12/2023,7656.80,0.70
FICHA PAUTADA,1530,,,SEMI-PRONTOS,2620,18/12/2023,4360.50,2.85
CALENDARIO DE MESA POLEN + JOIA NATURAL,5650,,DATADOS 2024,MIOLO + CAPA,2544,21/08/2023,14972.50,2.65
ADESIVO FICHARIO E PLANNER WIRE-O A5,20000,,,ADESIVOS,2555,05/09/2023,8640,0.43
MIOLO FICHÁRIO 17X24,10080,ITEM 52,,MIOLOS,2567,02/10/2023,14313.60,1.42
DIVISÓRIAS PLANNER MELISSA(12 ABAS),4750,,,DIVISÓRIAS,2594,08/11/2023,11970,2.52
MIOLO KIT PLANNER WIRE-O,10000,ITEM 50,,MIOLOS,2511,29/06/2023,22100,2.21
BOLSA A5,25000,,,BOLSA,2518,13/07/2023,1575,0.06
BOLSA A6,10000,,,BOLSA,2519,13/07/2023,950,0.10
BOLSA 17X24,15000,,,BOLSA,2523,17/07/2023,1590,0.11
ADESIVOS MELISSA PLANNER E FICHÁRIO,8000,,,ADESIVOS,2524,17/07/2023,4400,0.55
DIVISÓRIAS MELISSA FICHÁRIO A5 E CADERNO ORGANIZADOR A5,4100,,,DIVISÓRIAS,2528,26/07/2023,4920,1.20
PLANNER BLOCO JOIA NATURAL,1600,,LINHA 2024,SEMI-PRONTOS,2534,03/08/2023,3568,2.23
CALENDARIO DE PAREDE KRAFT,2214,,DATADOS 2024,MIOLO + CAPA,2541,16/08/2023,7749,3.50
MIOLO KIT PLANNER WIRE-O,12000,ITEM 50,,MIOLOS,2583,27/10/2023,26520,2.21
MIOLO CADERNO ORGANIZADOR A5,11000,ITEM 83,,MIOLOS,2585,30/10/2023,15950,1.45
MIOLO CADERNO WIRE-O 17X24 + BOLSA,10000,ITEM 61,,MIOLO + BOLSA,2593,08/11/2023,17200,1.72
DIVISÓRIAS FICHÁRIO 17X24 4/4,20000,ITEM 55,,DIVISÓRIAS,2600,22/11/2023,16800,0.84
MIOLO CADERNO WIRE-O 17X24 + BOLSA,5000,ITEM 61,,MIOLO + BOLSA,2367,03/01/2023,3725,0.75
DIVISÓRIAS PLANNER 4/4(12 ABAS),6000,,,DIVISÓRIAS,2368,03/01/2023,3888,0.65
MIOLO KIT PLANNER WIRE-O,10000,ITEM 50,,MIOLOS,2384,17/01/2023,8750,0.88
ADESIVOS MELISSA PLANNER E FICHÁRIO,2000,,,ADESIVOS,2389,24/01/2023,950,0.48
DIVISÓRIAS FICHÁRIO 17X24 MELISSA,1375,,,DIVISÓRIAS,2392,01/02/2023,4867.50,3.54
MIOLO FICHÁRIO 17X24,12024,ITEM 52,,MIOLOS,2399,07/02/2023,6673.32,0.56
MIOLO CADERNO WIRE-O 17X24 + BOLSA,5108,ITEM 61,,MIOLO + BOLSA,2400,09/02/2023,3805.46,0.75
DIVISÓRIAS A5 4/4,7300,,,DIVISÓRIAS,2402,09/02/2023,2774,0.38
DIVISÓRIAS PLANNER MELISSA(12 ABAS),1300,,,DIVISÓRIAS,2403,09/02/2023,3618.50,2.78
DIVISÓRIAS PLANNER 4/4(12 ABAS),6000,ITEM 58,,DIVISÓRIAS,2427,07/03/2023,4320,0.72
REFIL LINHAS BRANCAS,1132,8507,,SEMI-PRONTOS,2428,08/03/2023,718.82,0.64
REFIL POLEN PAUTADO 17X24,8800,9062,,SEMI-PRONTOS,2432,14/03/2023,4180,0.48
FICHA PAUTADA,1500,,,SEMI-PRONTOS,2435,15/03/2023,1912.50,1.28
REFIL PLANNER 17X24,2028,9116,,SEMI-PRONTOS,2436,15/03/2023,3650.40,1.80
DIVISÓRIAS PLANNER 1/1(12 ABAS),4000,ITEM 59,,DIVISÓRIAS,2450,05/04/2023,2640,0.66
MIOLO FICHÁRIO 17X24,10000,ITEM 52,,MIOLOS,2476,02/05/2023,6250,0.63
ADESIVO FICHARIO E PLANNER WIRE-O A5,20000,,,ADESIVOS,2484,18/05/2023,9000,0.45
DIVISÓRIAS PLANNER 1/1(12 ABAS),4000,ITEM 59,,DIVISÓRIAS,2516,12/07/2023,5952,1.49
DIVISÓRIAS PLANNER 4/4(12 ABAS),6000,ITEM 58,,DIVISÓRIAS,2517,12/07/2023,9936,1.66
CALENDARIO DE MESA POLEN,6800,,DATADOS 2024,MIOLO + CAPA,2522,17/07/2023,14824,2.18
REVISTAS 9X13,10000,,PERSONALIZADO,CAPAS,2526,24/07/2023,2900,0.29
PLANNER BLOCO PASSAROS,2100,,LINHA 2024,SEMI-PRONTOS,2531,02/08/2023,4284,2.04
PLANNER BLOCO PASSAROS,1600,,LINHA 2024,SEMI-PRONTOS,2536,07/08/2023,3920,2.45
PLANNER BLOCO JOIA NATURAL,1400,,LINHA 2024,SEMI-PRONTOS,2537,07/08/2023,3584,2.56
CALENDARIO DE PAREDE JOIA NATURAL + ASTRAL,5300,,DATADOS 2024,MIOLO + CAPA,2538,10/08/2023,19345,3.65
BOLSA A5,25000,,,BOLSA,2576,24/10/2023,1575,0.06
BOLSA 17X24,15000,,,BOLSA,2576,24/10/2023,1590,0.11
ADESIVO CADERNO ORGANIZADOR A5 E 17X24,14000,,,ADESIVOS,2598,21/11/2023,6300,0.45
REFIL LINHAS BRANCAS,1240,8507,,SEMI-PRONTOS,2603,28/11/2023,1736,1.40
DIVISÓRIAS FICHÁRIO 17X24 1/1,24500,ITEM 56,,DIVISÓRIAS,2605,30/11/2023,20139,0.82
DIVISÓRIAS PLANNER PERSONALIZADA(12 ABAS),2400,,PERSONALIZADO,DIVISÓRIAS,2606,30/11/2023,6480,2.70
BOLSA A5 PERSONALIZADA,200,,PERSONALIZADO,BOLSA,2606,30/11/2023,1208,6.04
MIOLO CADERNO ORGANIZADOR 17X24,14000,ITEM 84,,MIOLOS,2621,19/12/2023,27160,1.94
DIVISÓRIAS MELISSA AGENDA FICHÁRIO A5,1500,,,DIVISÓRIAS,2625,22/12/2023,6405,4.27
CAPAS PERSONALIZADO,100,,PERSONALIZADO,CAPAS,2656,23/01/2024,1400,14.00
CAPAS PERSONALIZADO,500,,PERSONALIZADO,CAPAS,2657,23/01/2024,1330,2.66
DIVISÓRIAS PLANNER 1/1(12 ABAS),4000,ITEM 59,,DIVISÓRIAS,2660,25/01/2024,5952,1.49
DIVISÓRIAS PLANNER 4/4(12 ABAS),6000,ITEM 58,,DIVISÓRIAS,2661,25/01/2024,9936,1.66
CHAPA JAN 24.01,1200,,FRESCOR,CAPAS,2663,26/01/2024,1470,1.23
