CODIGO,COD_REDUZIDO,PRODUTO,FAMILIA,STATUS,TOTAL
7899866830899,899,Agenda Planner Argolado 2026 Origens Semanal A6 Ãqua Azul,ORIGENS,LANÃ‡AMENTO,1500
7899866830905,905,Agenda Planner Argolado 2026 Origens Semanal Notas A5 Ãqua TraÃ§o,ORIGENS,LANÃ‡AMENTO,1460
7899866830431,431,Agenda Planner Argolado 2026 Doce Florada Semanal A6 Preto,DOCE FLORADA,LANÃ‡AMENTO,1190
7899866828926,8926,Agenda Planner Argolado 2026 Jardim Semanal Notas A5 Preto,JARDIM,LANÃ‡AMENTO,1220
7899866828933,8933,Agenda Planner Argolado 2026 Jardim Semanal A6 Off White,JARDIM,LANÃ‡AMENTO,1240
7899866830035,35,Agenda Planner Argolado 2026 Bossa Nova Semanal Notas A5 Boemia Caramelo,BOSSA NOVA,LANÃ‡AMENTO,1410
7899866830172,172,Agenda Planner Argolado 2026 ClÃ¡ssica Semanal A6 CafÃ©,CLASSICA,LANÃ‡AMENTO,1370
7899866830189,189,Agenda Planner Argolado 2026 ClÃ¡ssica Semanal A6 Verde Oliva,CLASSICA,LANÃ‡AMENTO,1240
7899866830196,196,Agenda Planner Argolado 2026 ClÃ¡ssica Semanal Notas A5 Preta,CLASSICA,LANÃ‡AMENTO,1340
7899866830202,202,Agenda Planner Argolado 2026 ClÃ¡ssica Semanal Notas A5 Azul Celeste,CLASSICA,LANÃ‡AMENTO,1210
7899866829756,9756,Agenda Planner Argolado 2026 Praia Semanal Notas A5 Barraca,PRAIA,LANÃ‡AMENTO,910
7899866829404,9404,Agenda Planner Argolado 2026 Melissa Semanal A6 Mini Bloomy,MELISSA,LANÃ‡AMENTO,1490
7899866829411,9411,Agenda Planner Argolado 2026 Melissa Semanal Notas A5 Color Bloomy,MELISSA,LANÃ‡AMENTO,2180
7899866830448,448,Agenda Planner Argolado 2026 Doce Florada Semanal Notas A5 Lata,DOCE FLORADA,LANÃ‡AMENTO,1050
7899866830912,912,Agenda Planner Ciceros 2026 Origens DiÃ¡ria 14x21 Ãqua Off White,ORIGENS,LANÃ‡AMENTO,1670
7899866830929,929,Agenda Planner Ciceros 2026 Origens Semanal 14x21 Ãqua Azul,ORIGENS,LANÃ‡AMENTO,2190
7899866830936,936,Agenda Planner Ciceros 2026 Origens Semanal AnotaÃ§Ãµes 14x21 Terra,ORIGENS,LANÃ‡AMENTO,2550
7899866828940,8940,Agenda Planner Ciceros 2026 Jardim DiÃ¡ria 14x21 Verde,JARDIM,LANÃ‡AMENTO,1940
7899866828957,8957,Agenda Planner Ciceros 2026 Jardim Semanal 14x21 Off White,JARDIM,LANÃ‡AMENTO,2330
7899866828964,8964,Agenda Planner Ciceros 2026 Jardim Semanal 9x13 Verde,JARDIM,LANÃ‡AMENTO,3280
7899866828971,8971,Agenda Planner Ciceros 2026 Jardim Semanal AnotaÃ§Ãµes 14x21 Preto,JARDIM,LANÃ‡AMENTO,2960
7899866828988,8988,"Agenda Planner Ciceros 2026 Jardim Semanal Planejamento 17x19,5 Off White",JARDIM,LANÃ‡AMENTO,2540
7899866830042,42,Agenda Planner Ciceros 2026 Bossa Nova DiÃ¡ria 14x21 Boemia Caramelo,BOSSA NOVA,LANÃ‡AMENTO,1490
7899866830059,59,Agenda Planner Ciceros 2026 Bossa Nova Semanal 14x21 Boemia Caramelo,BOSSA NOVA,LANÃ‡AMENTO,2070
7899866829992,9992,Agenda Planner Ciceros 2026 Praia Semanal 9x13 Cachorros,PRAIA,LANÃ‡AMENTO,2560
7899866830004,4,Agenda Planner Ciceros 2026 Praia Semanal AnotaÃ§Ãµes 14x21 Cachorros,PRAIA,LANÃ‡AMENTO,2760
7899866830851,851,Agenda Planner Ciceros 2026 Kraft Semanal AnotaÃ§Ãµes 14x21 2026,KRAFT,LANÃ‡AMENTO,1650
7899866830066,66,"Agenda Planner Ciceros 2026 Bossa Nova Semanal Planejamento 17x19,5 Boemia Caramelo",BOSSA NOVA,LANÃ‡AMENTO,2000
7899866830219,219,Agenda Planner Ciceros 2026 ClÃ¡ssica DiÃ¡ria 14x21 Preta,CLASSICA,LANÃ‡AMENTO,1920
7899866830226,226,Agenda Planner Ciceros 2026 ClÃ¡ssica DiÃ¡ria 14x21 Rosa OrquÃ­dea,CLASSICA,LANÃ‡AMENTO,1420
7899866830233,233,Agenda Planner Ciceros 2026 ClÃ¡ssica Semanal 14x21 CafÃ©,CLASSICA,LANÃ‡AMENTO,2020
7899866830240,240,Agenda Planner Ciceros 2026 ClÃ¡ssica Semanal 14x21 Preta,CLASSICA,LANÃ‡AMENTO,1870
7899866830257,257,Agenda Planner Ciceros 2026 ClÃ¡ssica Semanal 14x21 Vermelho Quente,CLASSICA,LANÃ‡AMENTO,1870
7899866830264,264,Agenda Planner Ciceros 2026 ClÃ¡ssica Semanal 9x13 Preta,CLASSICA,LANÃ‡AMENTO,2240
7899866830271,271,Agenda Planner Ciceros 2026 ClÃ¡ssica Semanal 9x13 Caramelo,CLASSICA,LANÃ‡AMENTO,2170
7899866830288,288,Agenda Planner Ciceros 2026 ClÃ¡ssica Semanal AnotaÃ§Ãµes 14x21 Caramelo,CLASSICA,LANÃ‡AMENTO,2630
7899866830295,295,Agenda Planner Ciceros 2026 ClÃ¡ssica Semanal AnotaÃ§Ãµes 14x21 Azul Celeste,CLASSICA,LANÃ‡AMENTO,2190
7899866830301,301,Agenda Planner Ciceros 2026 ClÃ¡ssica Semanal AnotaÃ§Ãµes 14x21 Verde Oliva,CLASSICA,LANÃ‡AMENTO,2920
7899866830318,318,"Agenda Planner Ciceros 2026 ClÃ¡ssica Semanal Planejamento 17x19,5 Azul Celeste",CLASSICA,LANÃ‡AMENTO,1780
7899866830325,325,"Agenda Planner Ciceros 2026 ClÃ¡ssica Semanal Planejamento 17x19,5 Preta",CLASSICA,LANÃ‡AMENTO,1810
7899866829237,9237,Agenda Planner Ciceros 2026 LibÃ©lulas DiÃ¡ria 14x21 Preto,LIBELULAS,LANÃ‡AMENTO,990
7899866829244,9244,Agenda Planner Ciceros 2026 LibÃ©lulas Semanal 14x21 Azul,LIBELULAS,LANÃ‡AMENTO,1200
7899866829251,9251,Agenda Planner Ciceros 2026 LibÃ©lulas Semanal 9x13 Preto,LIBELULAS,LANÃ‡AMENTO,1390
7899866829428,9428,Agenda Planner Ciceros 2026 Melissa DiÃ¡ria 14x21 Block Bloomy,MELISSA,LANÃ‡AMENTO,1920
7899866829435,9435,Agenda Planner Ciceros 2026 Melissa Semanal 14x21 Pink Bloomy,MELISSA,LANÃ‡AMENTO,2260
7899866829442,9442,Agenda Planner Ciceros 2026 Melissa Semanal 9x13 Mini Bloomy,MELISSA,LANÃ‡AMENTO,2900
7899866829459,9459,Agenda Planner Ciceros 2026 Melissa Semanal AnotaÃ§Ãµes 14x21 Max Bloomy,MELISSA,LANÃ‡AMENTO,2620
7899866829466,9466,Agenda Planner Ciceros 2026 Melissa Semanal AnotaÃ§Ãµes 14x21 Casinha das Abelhas,MELISSA,LANÃ‡AMENTO,2440
7899866829763,9763,"Agenda Planner Ciceros 2026 Praia Semanal Planejamento 17x19,5 Sol",PRAIA,LANÃ‡AMENTO,2000
7899866830455,455,Agenda Planner Ciceros 2026 Doce Florada DiÃ¡ria 14x21 Azul,DOCE FLORADA,LANÃ‡AMENTO,1430
7899866830462,462,Agenda Planner Ciceros 2026 Doce Florada Semanal 14x21 Preto,DOCE FLORADA,LANÃ‡AMENTO,1740
7899866830479,479,Agenda Planner Ciceros 2026 Doce Florada Semanal 9x13 Off White,DOCE FLORADA,LANÃ‡AMENTO,2410
7899866830486,486,Agenda Planner Ciceros 2026 Doce Florada Semanal AnotaÃ§Ãµes 14x21 Garrafa,DOCE FLORADA,LANÃ‡AMENTO,2680
7899866830493,493,"Agenda Planner Ciceros 2026 Doce Florada Semanal Planejamento 17x19,5 Garrafa",DOCE FLORADA,LANÃ‡AMENTO,2170
7899866830943,943,"Agenda Planner Wire-o 2026 Origens DiÃ¡ria 11,5x16 Terra",ORIGENS,LANÃ‡AMENTO,1530
7899866830950,950,Agenda Planner Wire-o 2026 Origens DiÃ¡ria A5 Ãqua Azul,ORIGENS,LANÃ‡AMENTO,1840
7899866830967,967,Agenda Planner Wire-o 2026 Origens Semanal AnotaÃ§Ãµes A5 Ãqua Azul,ORIGENS,LANÃ‡AMENTO,1840
7899866830974,974,Agenda Planner Wire-o 2026 Origens Semanal Notas c/ DivisÃ³rias A5 Terra,ORIGENS,LANÃ‡AMENTO,1470
7899866830981,981,"Agenda Planner Wire-o 2026 Origens Semanal Office 15,5x9 Ãqua TraÃ§o",ORIGENS,LANÃ‡AMENTO,1860
7899866828995,8995,"Agenda Planner Wire-o 2026 Jardim DiÃ¡ria 11,5x16 Off White",JARDIM,LANÃ‡AMENTO,2030
7899866829008,9008,Agenda Planner Wire-o 2026 Jardim DiÃ¡ria A5 Preto,JARDIM,LANÃ‡AMENTO,2110
7899866829015,9015,Agenda Planner Wire-o 2026 Jardim Semanal AnotaÃ§Ãµes Off White,JARDIM,LANÃ‡AMENTO,2540
7899866829022,9022,Agenda Planner Wire-o 2026 Jardim Semanal Notas c/ DivisÃ³rias A5 Verde,JARDIM,LANÃ‡AMENTO,1670
7899866829770,9770,"Agenda Planner Wire-o 2026 Praia DiÃ¡ria 11,5x16 Cachorros",PRAIA,LANÃ‡AMENTO,2220
7899866830073,73,Agenda Planner Wire-o 2026 Bossa Nova DiÃ¡ria A5 Boemia Caramelo,BOSSA NOVA,LANÃ‡AMENTO,1900
7899866830080,80,Agenda Planner Wire-o 2026 Bossa Nova Semanal AnotaÃ§Ãµes A5 Boemia Caramelo,BOSSA NOVA,LANÃ‡AMENTO,1900
7899866829787,9787,Agenda Planner Wire-o 2026 Praia Semanal Notas c/ DivisÃ³rias A5 Cachorros,PRAIA,LANÃ‡AMENTO,1790
7899866830097,97,"Agenda Planner Wire-o 2026 Bossa Nova Semanal Office 15,5x9 Boemia Caramelo",BOSSA NOVA,LANÃ‡AMENTO,1960
7899866829268,9268,"Agenda Planner Wire-o 2026 LibÃ©lulas Semanal Office 15,5x9 Off White",LIBELULAS,LANÃ‡AMENTO,1320
7899866830332,332,"Agenda Planner Wire-o 2026 ClÃ¡ssica DiÃ¡ria 11,5x16 Azul Celeste",CLASSICA,LANÃ‡AMENTO,1680
7899866830349,349,Agenda Planner Wire-o 2026 ClÃ¡ssica DiÃ¡ria A5 CafÃ©,CLASSICA,LANÃ‡AMENTO,1900
7899866830356,356,Agenda Planner Wire-o 2026 ClÃ¡ssica Semanal AnotaÃ§Ãµes A5 CafÃ©,CLASSICA,LANÃ‡AMENTO,2020
7899866830363,363,Agenda Planner Wire-o 2026 ClÃ¡ssica Semanal AnotaÃ§Ãµes A5 Vermelho Quente,CLASSICA,LANÃ‡AMENTO,1780
7899866830370,370,Agenda Planner Wire-o 2026 ClÃ¡ssica Semanal Notas c/ DivisÃ³rias A5 Preta,CLASSICA,LANÃ‡AMENTO,1660
7899866830387,387,Agenda Planner Wire-o 2026 ClÃ¡ssica Semanal Notas c/ DivisÃ³rias A5 Caramelo,CLASSICA,LANÃ‡AMENTO,1540
7899866830394,394,"Agenda Planner Wire-o 2026 ClÃ¡ssica Semanal Office 15,5x9 Verde Oliva",CLASSICA,LANÃ‡AMENTO,1680
7899866830868,868,"Agenda Planner Wire-o 2026 Kraft DiÃ¡ria 11,5x16 2026",KRAFT,LANÃ‡AMENTO,1140
7899866829794,9794,Agenda Planner Wire-o 2026 Praia Semanal AnotaÃ§Ãµes A5 Sol,PRAIA,LANÃ‡AMENTO,1400
7899866829275,9275,Agenda Planner Wire-o 2026 LibÃ©lulas Semanal Notas c/ DivisÃ³rias A5 Preto,LIBELULAS,LANÃ‡AMENTO,1030
7899866829473,9473,"Agenda Planner Wire-o 2026 Melissa DiÃ¡ria 11,5x16 Color Bloomy",MELISSA,LANÃ‡AMENTO,2550
7899866829480,9480,Agenda Planner Wire-o 2026 Melissa DiÃ¡ria A5 Pink Bloomy,MELISSA,LANÃ‡AMENTO,2830
7899866829497,9497,Agenda Planner Wire-o 2026 Melissa Semanal AnotaÃ§Ãµes A5 Color Bloomy,MELISSA,LANÃ‡AMENTO,3650
7899866829503,9503,Agenda Planner Wire-o 2026 Melissa Semanal Notas c/ DivisÃ³rias A5 Block Bloomy,MELISSA,LANÃ‡AMENTO,2700
7899866829510,9510,"Agenda Planner Wire-o 2026 Melissa Semanal Office 15,5x9 Color Bloomy",MELISSA,LANÃ‡AMENTO,2350
7899866830509,509,"Agenda Planner Wire-o 2026 Doce Florada DiÃ¡ria 11,5x16 Preto",DOCE FLORADA,LANÃ‡AMENTO,1150
7899866830516,516,Agenda Planner Wire-o 2026 Doce Florada DiÃ¡ria A5 Off White,DOCE FLORADA,LANÃ‡AMENTO,2030
7899866830523,523,Agenda Planner Wire-o 2026 Doce Florada Semanal AnotaÃ§Ãµes A5 Preto,DOCE FLORADA,LANÃ‡AMENTO,1750
7899866830530,530,Agenda Planner Wire-o 2026 Doce Florada Semanal Notas c/ DivisÃ³rias A5 Off White,DOCE FLORADA,LANÃ‡AMENTO,1740
7899866830547,547,"Agenda Planner Wire-o 2026 Doce Florada Semanal Office 15,5x9 Azul",DOCE FLORADA,LANÃ‡AMENTO,1780
7899866830790,790,Bloco de Desenho Wire-o Sem Pauta 21x28 CiceroÂ® & FÃ¡bula Guloseimas,FABULA,LANÃ‡AMENTO,860
7898925922544,2544,Bloco Kraft Sem Pauta - 14x21 Kraft,KRAFT,ATIVO,2540
7899866820432,432,Bloco Kraft Sem Pauta - 21x28 Kraft,KRAFT,ATIVO,1270
7898925922520,2520,Bloco Kraft Sem Pauta - 9x13 Kraft,KRAFT,ATIVO,3880
7899866829282,9282,Bloco Wire-o LibÃ©lulas Pautado 12x20 Preto,LIBELULAS,LANÃ‡AMENTO,1.12
7899866829039,9039,Bloco Wire-o Jardim Pautado 12x20 Off White,JARDIM,LANÃ‡AMENTO,1.56
7899866825499,5499,Bloco Wire-o Bossa Nova Pautado 12x20 Boemia Azul,BOSSA NOVA,ATIVO,1.75
7899866821118,1118,Bloco Wire-o ClÃ¡ssica Pautado 12x20 Caramelo,CLASSICA,ATIVO,1.65
7899866826731,6731,Bloco Wire-o ClÃ¡ssica Pautado 12x20 Preta,CLASSICA,ATIVO,1.5
7899866823372,3372,Bloco Wire-o ClÃ¡ssica Pautado 12x20 Verde Oliva,CLASSICA,ATIVO,1.74
7899866829800,9800,Bloco Wire-o Praia Pautado 12x20 Sol,PRAIA,LANÃ‡AMENTO,1.48
7899866826724,6724,Bloco Wire-o Melissa Pautado 12x20 Casinha das Abelhas,MELISSA,ATIVO,2
7899866830554,554,Bloco Wire-o Doce Florada Pautado 12x20 Garrafa,DOCE FLORADA,LANÃ‡AMENTO,1.33
7899866830998,998,Caderneta Ciceros Origens Sem Pauta 14x21 Ãqua Azul,ORIGENS,LANÃ‡AMENTO,1730
7899866831001,1001,Caderneta Ciceros Origens Pontado 14x21 Ãqua Off White,ORIGENS,LANÃ‡AMENTO,1460
7899866831018,1018,Caderneta Ciceros Origens Pautado 14x21 Terra,ORIGENS,LANÃ‡AMENTO,1630
7899866829046,9046,Caderneta Ciceros Jardim Miolo Tri 14x21 Off White,JARDIM,LANÃ‡AMENTO,1070
7899866829053,9053,Caderneta Ciceros Jardim Pautado 14x21 Preto,JARDIM,LANÃ‡AMENTO,1830
7899866829060,9060,Caderneta Ciceros Jardim Sem Pauta 14x21 Off White,JARDIM,LANÃ‡AMENTO,1810
7899866829817,9817,Caderneta Ciceros Praia Miolo Tri 14x21 Barraca,PRAIA,LANÃ‡AMENTO,990
7899866825505,5505,Caderneta Ciceros Bossa Nova Pautado 14x21 Boemia Azul,BOSSA NOVA,ATIVO,2030
7899866829824,9824,Caderneta Ciceros Praia Sem Pauta 14x21 Cachorros,PRAIA,LANÃ‡AMENTO,1690
7899866823327,3327,Caderneta Ciceros ClÃ¡ssica Miolo Tri 14x21 Caramelo,CLASSICA,ATIVO,1220
7899866823310,3310,Caderneta Ciceros ClÃ¡ssica Miolo Tri 14x21 Preta,CLASSICA,ATIVO,960
7899866831131,1131,Caderneta Ciceros ClÃ¡ssica Pastel Pontado 14x21 Azul Celeste,CLASSICA,LANÃ‡AMENTO,2100
7899866831148,1148,Caderneta Ciceros ClÃ¡ssica Pastel Pontado 14x21 Rosa OrquÃ­dea,CLASSICA,LANÃ‡AMENTO,1510
7898516461544,1544,Caderneta Ciceros ClÃ¡ssica Pautado - 14X21 Preto / Vermelho / Vermelho,CLASSICA,ATIVO,1040
7898516461919,1919,Caderneta Ciceros ClÃ¡ssica Pautado 14x21 Azul Marinho / Amarelo / Amarelo,CLASSICA,ATIVO,1290
7899866818842,8842,Caderneta Ciceros ClÃ¡ssica Pautado 14x21 CafÃ©,CLASSICA,ATIVO,2320
7899866830400,400,Caderneta Ciceros ClÃ¡ssica Sem Pauta 14x21 Caramelo,CLASSICA,LANÃ‡AMENTO,1620
7898925922773,2773,Caderneta Ciceros ClÃ¡ssica Pautado 14x21 Preto / Preto / Preto,CLASSICA,ATIVO,2870
7899866826779,6779,Caderneta Ciceros ClÃ¡ssica Pautado 14x21 Verde Oliva,CLASSICA,ATIVO,2120
7899866823457,3457,Caderneta Ciceros ClÃ¡ssica Pautado 14x21 Vermelho Quente,CLASSICA,ATIVO,1860
7898544676736,6736,Caderneta Ciceros ClÃ¡ssica Pontado 14X21 Preto / Preto / Preto,CLASSICA,ATIVO,10660
7899866830561,561,Caderneta Ciceros Doce Florada Quadriculado 14x21 Off White,DOCE FLORADA,LANÃ‡AMENTO,840
7899866823280,3280,Caderneta Ciceros ClÃ¡ssica Quadriculado 14x21 Caramelo,CLASSICA,ATIVO,1420
7899866823273,3273,Caderneta Ciceros ClÃ¡ssica Quadriculado 14x21 Preta,CLASSICA,ATIVO,1020
7898516461865,1865,Caderneta Ciceros ClÃ¡ssica Sem Pauta 14x21 Azul Marinho / Amarelo / Amarelo,CLASSICA,ATIVO,1650
7898516461827,1827,Caderneta Ciceros ClÃ¡ssica Sem Pauta 14x21 Preto / Preto / Preto,CLASSICA,ATIVO,2730
7898516461834,1834,Caderneta Ciceros ClÃ¡ssica Sem Pauta 14x21 Preto / Vermelho / Vermelho,CLASSICA,ATIVO,1160
7899866823334,3334,Caderneta Ciceros ClÃ¡ssica Sem Pauta 14x21 Verde Oliva,CLASSICA,ATIVO,2380
7899866823440,3440,Caderneta Ciceros ClÃ¡ssica Sem Pauta 14x21 Vermelho Quente,CLASSICA,ATIVO,1880
7899866831155,1155,Caderneta Ciceros ClÃ¡ssica Sem Pauta 9x13 Azul Celeste,CLASSICA,LANÃ‡AMENTO,895
7898516461407,1407,Caderneta Ciceros ClÃ¡ssica Sem Pauta 9x13 Preto / Preto / Preto,CLASSICA,ATIVO,1910
7899866830417,417,Caderneta Ciceros ClÃ¡ssica Sem Pauta 9x13 Caramelo,CLASSICA,LANÃ‡AMENTO,1015
7899866823341,3341,Caderneta Ciceros ClÃ¡ssica Sem Pauta 9x13 Verde Oliva,CLASSICA,ATIVO,1890
7899866823433,3433,Caderneta Ciceros ClÃ¡ssica Sem Pauta 9x13 Vermelho Quente,CLASSICA,ATIVO,1310
7898925923220,3220,Caderneta Ciceros Flex ClÃ¡ssica Pautado 14x21 Preto / Preto / Preto,CLASSICA,ATIVO,1420
7899866801127,1127,Caderneta Ciceros Flex ClÃ¡ssica Pautado 14x21 Vermelho / Vermelho / Vermelho,CLASSICA,ATIVO,610
7898925923206,3206,Caderneta Ciceros Flex ClÃ¡ssica Sem Pauta 14x21 Preto / Preto / Preto,CLASSICA,ATIVO,1540
7899866801110,1110,Caderneta Ciceros Flex ClÃ¡ssica Sem Pauta 14x21 Vermelho / Vermelho / Vermelho,CLASSICA,ATIVO,620
7899866829299,9299,Caderneta Ciceros LibÃ©lulas Miolo Tri 14x21 Azul,LIBELULAS,LANÃ‡AMENTO,690
7899866829831,9831,Caderneta Ciceros Praia Pautado 14x21 Sol,PRAIA,LANÃ‡AMENTO,1280
7899866829305,9305,Caderneta Ciceros LibÃ©lulas Pautado 14x21 Preto,LIBELULAS,LANÃ‡AMENTO,910
7899866829312,9312,Caderneta Ciceros LibÃ©lulas Sem Pauta 14x21 Off White,LIBELULAS,LANÃ‡AMENTO,965
7899866829527,9527,Caderneta Ciceros Melissa Miolo Tri 14x21 Color Bloomy,MELISSA,LANÃ‡AMENTO,1095
7899866829534,9534,Caderneta Ciceros Melissa Pautado 14x21 Pink Bloomy,MELISSA,LANÃ‡AMENTO,1840
7899866826854,6854,Caderneta Ciceros Melissa Pontado 14x21 Casinha das Abelhas,MELISSA,ATIVO,1460
7899866829541,9541,Caderneta Ciceros Melissa Sem Pauta 14x21 Block Bloomy,MELISSA,LANÃ‡AMENTO,1900
7899866830578,578,Caderneta Ciceros Doce Florada Miolo Tri 14x21 Azul,DOCE FLORADA,LANÃ‡AMENTO,955
7899866830585,585,Caderneta Ciceros Doce Florada Pautado 14x21 Garrafa,DOCE FLORADA,LANÃ‡AMENTO,1370
7899866830592,592,Caderneta Ciceros Doce Florada Sem Pauta 14x21 Preto,DOCE FLORADA,LANÃ‡AMENTO,1080
7898925923602,3602,Caderneta Kraft Pautado 14x21 Kraft,KRAFT,ATIVO,1760
7898925922605,2605,Caderneta Kraft Sem Pauta 14x21 Kraft,KRAFT,ATIVO,4360
7898925922537,2537,Caderneta Kraft Sem Pauta 9x13 Kraft,KRAFT,ATIVO,4360
7899866830608,608,Caderneta Meu Pequeno Ciceros Doce Florada Pautado 14x21 Garrafa,DOCE FLORADA,LANÃ‡AMENTO,1430
7899866830615,615,Caderneta Meu Pequeno Ciceros Doce Florada Sem Pauta 14x21 ChÃ¡,DOCE FLORADA,LANÃ‡AMENTO,1200
7899866830622,622,Caderneta Meu Pequeno Ciceros Doce Florada Pautado 14x21 Lata,DOCE FLORADA,LANÃ‡AMENTO,1330
7899866830639,639,Caderneta Meu Pequeno Ciceros Doce Florada Pontado 14x21 Sardinha,DOCE FLORADA,LANÃ‡AMENTO,1200
7898516460257,257,Caderneta Revista BÃ¡sica Sem Pauta Kit 3 unidades 14x21 Kft,KRAFT,ATIVO,2700
7898516463050,3050,Caderneta Revista BÃ¡sica Sem Pauta Kit 3 unidades 9x13 Kft,KRAFT,ATIVO,2170
7899866829558,9558,Caderneta Revista Notas Mix Miolos Diferentes Kit 3 unidades 14x21 Melissa Colors,MELISSA,LANÃ‡AMENTO,1390
7899866803725,3725,Caderneta Revista Notas Mix Miolos Diferentes Kit 4 unidades 14x21 Kft,KRAFT,ATIVO,1275
7899866803732,3732,Caderneta Revista Notas Mix Miolos Diferentes Kit 4 unidades 14x21 Preto,CLASSICA,ATIVO,1485
7899866831025,1025,Caderno Criativo Argolado Origens Pautado 17x24 Ãqua Azul,ORIGENS,LANÃ‡AMENTO,1530
