CÓDIGO,TRABALHO,COLEÇÃO,ARTE/HOT,SERVIÇO_GERAL,SERVIÇO_ESPECIFICO,NF_REFERENCIA,DATA,QUANTIDADE,PREÇO,UNIT
,PERSONALIZADO,2024,DA VEZ,LAMINAÇÃO,LAM.SUPER FOSCA FR,37168-0,2024-08-01,104,208.0,2.0
,PERSONALIZADO,2024,ARTESANO/LOBO DE RIZZO/FRATTINA,LAMINAÇÃO,LAM.SUPER FOSCA FR,37168-0,2024-08-01,920,450.0,0.49
,JOIA NATRUAL,2023,CALENDARIO,LAMINAÇÃO,LAM.SUPER FOSCA FR,37168-0,2024-08-01,295,450.0,1.53
,PERSONALIZADO,2024,BITTY/NAPEN,LAMINAÇÃO,LAM.SUPER FOSCA FR,37168-0,2024-08-01,310,450.0,1.45
,PERSONALIZADO,2024,NAPEN HAIGHT/CARTAO/LUANA,LAMINAÇÃO,LAM.SUPER FOSCA FR,37168-0,2024-08-01,214,428.0,2.0
,PERSONALIZADO,2024,FIOCRUZ/LUNDBECK/SCARFME,LAMINAÇÃO,LAM.SUPER FOSCA FR,37168-0,2024-08-01,700,450.0,0.64
4607,PASTEL BLOCK,FRESCOR 2023,LISTRAS,HOT,HOT STAMPING,37168-0,2024-08-01,640,670.0,1.05
,PERSONALIZADO,2024,HASTRO,LAMINAÇÃO,LAM.SUPER FOSCA FR,37199-0,2024-01-18,100,200.0,2.0
,PERSONALIZADO,2024,BZCP/HASTRO/PIXEL/HELIO ENERGIAS,LAMINAÇÃO,LAM.SUPER FOSCA FR,37199-0,2024-01-18,136,272.0,2.0
,PERSONALIZADO,2024,LUNDBECK,LAMINAÇÃO,LAM. FOSCA FR,37199-0,2024-01-18,44,70.4,1.6
,PERSONALIZADO,2024,CHANGE THE GAME,LAMINAÇÃO,LAM.SUPER FOSCA FR,37199-0,2024-01-18,170,340.0,2.0
,PERSONALIZADO,2024,CHANGE THE GAME,VERNIZ,VERNIZ LOCALIZADO,37199-0,2024-01-18,170,205.0,1.21
,,,,,GRAVAÇÃO DE TELA,37199-0,2024-01-18,1,185.0,185.0
3976,MELISSA,COLEÇÃO 2024,FAVO DE ABELHAS,VERNIZ,VERNIZ LOCALIZADO,37199-0,2024-01-18,900,260.0,0.29
,,,,,GRAVAÇÃO DE TELA,37199-0,2024-01-18,1,185.0,185.0
3976,MELISSA,COLEÇÃO 2024,FAVO DE ABELHAS,HOT,HOT STAMPING,37199-0,2024-01-18,900,750.0,0.83
,FRESCOR,2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,37258-0,2024-05-02,8750,5416.25,0.62
,FRESCOR,2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,37258-0,2024-05-02,1000,471.0,0.47
,PERSONALIZADO,2024,PIXEL,LAMINAÇÃO,LAM.SUPER FOSCA FR,37258-0,2024-05-02,75,165.0,2.2
,PERSONALIZADO,2024,PIXEL,LAMINAÇÃO,LAM.SUPER FOSCA FR,37258-0,2024-05-02,70,154.0,2.2
,PERSONALIZADO,2024,PIXEL/POLEN/DRESS TO,LAMINAÇÃO,LAM.SUPER FOSCA FR,37258-0,2024-05-02,140,308.0,2.2
,BOSSA NOVA,2024,CAPAS,LAMINAÇÃO,LAM.SUPER FOSCA FR,37258-0,2024-05-02,50,110.0,2.2
